;annee;mois;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P10P1;marche;rf
d�c-93;1993;12;0,019627;0,027166;0,046457;0,030425;0,019575;0,013674;0,017554;0,002261;0,001447;-0,004349;-0,023976;0,0195;0,0023
janv-94;1994;1;0,056253;-0,003092;0,005554;-0,028143;-0,037306;-0,011338;-0,007586;-0,006216;0,032956;0,00156;-0,054693;0,0315;0,0025
f�vr-94;1994;2;-0,023746;-0,013055;-0,045985;-0,03802;-0,044655;-0,048417;-0,056665;-0,035989;-0,032659;-0,045859;-0,022113;-0,0242;0,0021
mars-94;1994;3;-0,099262;-0,032755;-0,01758;-0,032572;-0,013681;-0,029905;-0,046021;-0,017416;-0,024479;-0,015362;0,0839;-0,0458;0,0027
avr-94;1994;4;0,049142;0,00339;0,015599;0,025399;0,021674;0,030918;0,016972;0,003818;0,014811;-0,017679;-0,066821;0,0095;0,0027
mai-94;1994;5;-0,052007;-0,014242;-0,051259;-0,048865;-0,065272;-0,051063;-0,066879;-0,046471;-0,049896;-0,005368;0,046639;0,0094;0,0032
juin-94;1994;6;-0,045105;-0,031887;-0,016875;-0,028675;-0,053286;-0,030221;-0,036132;-0,02674;-0,031365;-0,042681;0,002424;-0,0279;0,0031
juil-94;1994;7;0,039264;0,076598;0,059744;0,037298;0,063283;0,019409;0,030245;0,011599;0,004567;-0,012039;-0,051303;0,0306;0,0028
ao�t-94;1994;8;0,006828;0,009823;0,008357;0,035393;0,021585;0,022207;-0,010089;0,002476;0,059956;0,004752;-0,002076;0,0426;0,0037
sept-94;1994;9;-0,061614;-0,013085;-0,021664;-0,019247;-0,029959;-0,038577;-0,038536;-0,028949;-0,029035;-0,041167;0,020447;-0,0184;0,0037
oct-94;1994;10;0,023665;0,028623;0,006165;0,01394;0,012044;0,00704;0,021061;-0,002333;0,003648;-0,007496;-0,031161;0,0145;0,0038
nov-94;1994;11;-0,007887;-0,025071;0,00162;-0,022961;-0,004746;-0,020213;-0,024911;-0,042156;-0,004809;-0,066356;-0,058469;-0,0372;0,0037
d�c-94;1994;12;0,007743;0,001849;-0,006976;0,016294;0,010711;0,026181;0,031228;-0,011955;-0,002869;-0,034388;-0,042131;0,0126;0,0044
janv-95;1995;1;0,070102;0,057979;0,067558;0,043118;0,056605;0,026753;0,043937;0,047612;0,025229;0,007909;-0,062193;0,0204;0,0042
f�vr-95;1995;2;-0,005233;0,004173;0,014844;0,025117;0,014855;0,014724;0,021716;0,048313;0,010208;0,039637;0,04487;0,0396;0,004
mars-95;1995;3;-0,03836;-0,038321;-0,021821;-0,040142;-0,024992;0,004993;-0,022451;0,007027;0,005961;0,030878;0,069238;0,027;0,0046
avr-95;1995;4;0,052856;0,013859;0,009265;-0,010054;0,010473;0,033634;0,027678;0,010513;-0,004831;0,00387;-0,048986;0,025;0,0044
mai-95;1995;5;0,050438;0,023898;0,054109;0,033684;0,055265;0,040051;0,036434;0,036183;0,03084;-0,019199;-0,069637;0,034;0,0054
juin-95;1995;6;0,011139;0,00984;0,01245;-0,010761;-0,010775;0,02258;-0,000591;0,016753;-0,013126;0,024091;0,012952;0,0312;0,0047
juil-95;1995;7;0,00702;0,033062;-0,003046;-0,020457;-0,009808;-0,012762;-0,007592;-0,013319;-0,001761;0,031771;0,024751;0,0408;0,0045
ao�t-95;1995;8;0,007825;0,020269;0,03622;0,050615;0,013746;0,020503;0,010017;0,019989;0,022419;-0,013119;-0,020944;0,0093;0,0047
sept-95;1995;9;-0,009538;0,043474;0,039285;0,052709;0,054684;0,049417;0,043392;0,056237;0,033055;0,036144;0,045682;0,0364;0,0043
oct-95;1995;10;-0,034992;0,002334;0,007768;-0,011981;0,044083;0,026802;0,021778;0,023573;0,003616;-0,02001;0,014982;-0,0113;0,0047
nov-95;1995;11;0,064196;0,017041;0,023571;0,030728;0,017917;0,020077;0,015982;0,010378;0,012083;0,078539;0,014343;0,0427;0,0042
d�c-95;1995;12;0,001819;0,019715;0,027248;0,013874;0,044961;0,041069;0,031758;0,041067;0,038739;0,028001;0,026182;0,0152;0,0049
janv-96;1996;1;-0,000276;0,034677;0,000832;0,013244;0,016394;0,018333;0,03095;0,039612;0,023211;0,032678;0,032954;0,0281;0,0043
f�vr-96;1996;2;-0,003841;-0,009482;0,007693;-0,01995;-0,015666;0,00263;-0,041275;-0,012165;-0,018876;0,031676;0,035517;0,0163;0,0039
mars-96;1996;3;0,008567;-0,011241;0,027376;-0,000214;-0,017817;0,014718;0,020808;-0,005933;0,005899;0,051626;0,043059;0,0109;0,0039
avr-96;1996;4;0,04304;0,011675;-0,043825;-0,008569;-0,033363;-0,022517;-0,038264;-0,035153;-0,003616;-0,023594;-0,066634;0,0255;0,0046
mai-96;1996;5;0,015805;0,002852;0,004608;0,001774;0,021364;0,00604;0,012072;-0,003858;-0,000727;0,014904;-0,000901;0,0268;0,0042
juin-96;1996;6;-0,040301;-0,004265;0,012559;-0,004089;0,047354;0,048084;0,013782;0,052129;0,031335;0,034024;0,074325;-0,0083;0,004
juil-96;1996;7;-0,0403;-0,034185;-0,035426;-0,060432;-0,054641;-0,050788;-0,032533;-0,039073;-0,049195;-0,122488;-0,082188;-0,0538;0,0045
ao�t-96;1996;8;0,06731;0,040204;0,043449;0,03015;0,027816;0,051699;0,024212;0,03647;0,038717;0,016345;-0,050965;0,0325;0,0041
sept-96;1996;9;0,021598;0,010608;-0,005587;0,001902;-0,000832;-0,003316;-0,013618;0,025674;0,00471;-0,005651;-0,027249;0,053;0,0044
oct-96;1996;10;0,019603;0,000657;0,019595;0,00905;0,015584;0,0218;0,021156;0,046089;0,007426;0,029161;0,009558;0,0136;0,0042
nov-96;1996;11;0,038298;0,044742;0,017581;0,027114;0,011223;0,023209;0,030014;0,060492;0,019722;0,067002;0,028704;0,0655;0,0041
d�c-96;1996;12;-0,010794;-0,022123;0,006405;0,009276;-0,013412;0,051676;0,002706;0,009242;-0,00916;-0,030999;-0,020205;-0,0114;0,0046
janv-97;1997;1;0,011282;0,015073;0,005331;0,001817;0,003334;0,001726;0,033975;0,032551;0,017951;0,013529;0,002247;0,0534;0,0045
f�vr-97;1997;2;-0,021883;0,020806;-0,008458;-0,00345;0,004988;-0,017133;-0,007324;-0,018551;-0,003522;0,015328;0,037211;-0,0011;0,0039
mars-97;1997;3;-0,051199;-0,029005;-0,018563;-0,068326;-0,020246;-0,043831;-0,020949;-0,016153;-0,015527;-0,046653;0,004546;-0,0448;0,0043
avr-97;1997;4;-0,014838;-0,016528;-0,023022;-0,010528;-0,010267;-0,001174;0,004727;0,0314;-0,033769;0,012069;0,026907;0,0423;0,0043
mai-97;1997;5;0,030722;0,008638;0,041555;0,051407;0,038067;0,05145;0,01831;0,015838;0,042865;0,04755;0,016828;0,0716;0,0049
juin-97;1997;6;0,02162;0,050252;0,035583;0,020071;0,039335;0,047566;0,039118;0,039777;0,025659;0,019976;-0,001644;0,0441;0,0037
juil-97;1997;7;0,04142;0,039839;0,04377;0,061442;0,031029;0,007263;0,028759;0,021142;0,020134;0,09219;0,05077;0,0765;0,0043
ao�t-97;1997;8;0,014546;0,008046;0,008808;-0,008761;-0,033073;0,016283;-0,000457;-0,0194;-0,007474;0,01728;0,002734;-0,0363;0,0041
sept-97;1997;9;0,034981;0,027662;0,06594;0,043156;0,065267;0,000723;0,043206;0,05432;0,053628;0,128227;0,093246;0,0584;0,0044
oct-97;1997;10;0,039332;0,025573;0,026847;-0,001235;-0,005916;-0,002387;0,0115;0,004148;0,001287;-0,03738;-0,076712;-0,0345;0,0042
nov-97;1997;11;0,062424;0,056706;0,052037;0,061384;0,045242;0,053414;0,061815;0,07486;0,063137;0,03295;-0,029474;0,0305;0,0039
d�c-97;1997;12;0,007895;0,084959;0,052342;0,090358;0,077106;0,080141;0,079865;0,106792;0,092096;-0,030117;-0,038012;0,0178;0,0048
janv-98;1998;1;-0,025145;-0,062257;-0,04278;-0,063546;-0,035952;-0,039851;-0,017798;-0,068426;-0,067962;0,02647;0,051615;0,0045;0,0043
f�vr-98;1998;2;0,007381;-0,003502;0,004479;0,035435;0,023667;0,025263;0,022698;0,046257;0,024744;0,029968;0,022587;0,0732;0,0039
mars-98;1998;3;0,055233;0,059152;0,042564;0,063552;0,06133;0,022923;0,052677;0,059624;0,057687;0,029555;-0,025678;0,0513;0,0039
avr-98;1998;4;0,028571;-0,023514;-0,012346;-0,016499;-0,02719;-0,0224;-0,046432;-0,035264;-0,055251;0,011616;-0,016955;0,0109;0,0043
mai-98;1998;5;0,011874;-0,048936;-0,0404;-0,032583;-0,026878;-0,033469;-0,040643;-0,025288;-0,003713;-0,025445;-0,037319;-0,0258;0,004
juin-98;1998;6;-0,000786;0,011212;0,023959;0,037045;0,021361;0,033146;0,052183;0,025229;0,047047;0,021716;0,022502;0,032;0,0041
juil-98;1998;7;-0,140366;-0,035592;-0,034351;-0,062289;-0,037001;-0,069366;-0,024233;-0,070132;-0,040347;-0,061051;0,079315;-0,0233;0,004
ao�t-98;1998;8;-0,116202;-0,045992;-0,031093;-0,03174;0,008338;-0,056974;-0,032048;0,050503;0,022293;-0,111619;0,004583;-0,1577;0,0043
sept-98;1998;9;0,081946;0,092962;0,101976;0,104027;0,091821;0,089758;0,021085;0,04435;0,050744;0,07063;-0,011316;0,0638;0,0046
oct-98;1998;10;0,116051;0,01286;-0,030811;-0,041537;-0,017161;-0,00304;0,006976;-0,022833;0,026794;0,062787;-0,053264;0,0744;0,0032
nov-98;1998;11;-0,034396;0,017976;0,014871;0,025565;0,013206;-0,00514;0,05315;0,043785;-0,006478;0,0394;0,073796;0,062;0,0031
d�c-98;1998;12;0,007748;0,032036;0,046606;0,013512;0,073354;0,006167;0,064501;-0,0009;0,041304;0,057957;0,050209;0,0631;0,0038
janv-99;1999;1;-0,099541;-0,054672;-0,049466;-0,036506;-0,056112;-0,074392;-0,049503;-0,064619;-0,039095;-0,028083;0,071458;0,0383;0,0035
f�vr-99;1999;2;-0,026294;-0,024027;-0,05683;-0,090166;-0,058605;-0,023689;-0,036459;-0,042974;-0,03474;-0,019819;0,006475;-0,0381;0,0035
mars-99;1999;3;0,058476;-0,048001;-0,009989;-0,024245;0,002247;-0,041986;-0,029172;-0,027978;-0,012461;0,01623;-0,042246;0,0379;0,0043
avr-99;1999;4;0,009046;0,039949;0,015559;0,046396;0,038794;0,096357;0,062993;0,052001;0,016936;0,036698;0,027652;0,049;0,0037
mai-99;1999;5;0,040258;0,072597;0,089039;0,061165;0,035355;0,045391;0,048612;0,062855;0,072085;0,017092;-0,023166;-0,0207;0,0034
juin-99;1999;6;0,059942;0,004228;-0,035733;-0,006291;-0,007514;-0,06749;-0,042258;-0,023599;-0,03518;0,051799;-0,008143;0,051;0,004
juil-99;1999;7;0,045761;0,031106;0,019925;0,010034;-0,000559;0,015161;0,023848;0,002431;0,001782;-0,000467;-0,046228;-0,0306;0,0038
